state,population,contact_state
Alabama,5.024.279,AL
Alaska,733.391,AK
Arizona,7.151.502,AZ
Arkansas,3.011.524,AR
California,39.538.223,CA
Colorado,5.773.714,CO
Connecticut,3.605.944,CT
Delaware,989.948,DE
District of Columbia,689.545,DC
Florida,21.538.187,FL
Georgia,10.711.908,GA
Hawaii,1.455.271,HI
Idaho,1.839.106,ID
Illinois,12.812.508,IL
Indiana,6.785.528,IN
Iowa,3.190.369,IA
Kansas,2.937.880,KS
Kentucky,4.505.836,KY
Louisiana,4.657.757,LA
Maine,1.362.359,ME
Maryland,6.177.224,MD
Massachusetts,7.029.917,MA
Michigan,10.077.331,MI
Minnesota,5.706.494,MN
Mississippi,2.961.279,MS
Missouri,6.154.913,MO
Montana,1.084.225,MT
Nebraska,1.961.504,NE
Nevada,3.104.614,NV
New Hampshire,1.377.529,NH
New Jersey,9.288.994,NJ
New Mexico,2.117.522,NM
New York,20.201.249,NY
North Carolina,10.439.388,NC
North Dakota,779.094,ND
Ohio,11.799.448,OH
Oklahoma,3.959.353,OK
Oregon,4.237.256,OR
Pennsylvania,13.002.700,PA
Rhode Island,1.097.379,RI
South Carolina,5.118.425,SC
South Dakota,886.667,SD
Tennessee,6.910.840,TN
Texas,29.145.505,TX
Utah,3.271.616,UT
Vermont,643.077,VT
Virginia,8.631.393,VA
Washington,7.705.281,WA
West Virginia,1.793.716,WV
Wisconsin,5.893.718,WI
Wyoming,576.851,WY
